Traffic_Violations100rows (2)
SeqID,Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,Search Disposition,Search Outcome,Search Reason,Search Reason For Stop,Search Type,Search Arrest Reason,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
fbc324ab-bc8d-4743-ba23-7f9f370005e1,08/11/2019,20:02:00,MCP,"2nd District, Bethesda","LEAVING UNATTENDED VEH. W/O STOPPING ENGINE, LOCKING IGNITION, REMOVING KEY & SETTING BRAKE",CORDELL ST @ NORFOLK AVE.,38.9897433333333,-77.09777,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-1101(a),,,MD,02 - Automobile,2016,TOYOTA,CAMRY,SILVER,Citation,21-1101(a),Transportation Article,FALSE,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9897433333333, -77.09777)"
a6d904ec-d666-4bc3-8984-f37a4b31854d,08/12/2019,13:41:00,MCP,"2nd District, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 85 MPH IN A POSTED 55 MPH ZONE,NBI270 AT MIDDLEBROOK RD,39.17411,-77.24617,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-801.1,,,MD,02 - Automobile,2016,HONDA,CIVIC,GRAY,Citation,21-801.1,Transportation Article,FALSE,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.17411, -77.24617)"
54a64f6a-df28-4b65-a335-08883866aa46,08/12/2019,21:00:00,MCP,"5th District, Germantown",DRIVING VEH W/ TV-TYPE RECEIVING VIDEO EQUIP THAT IS ON AND VISIBLE TO THE DRIVER)ON HWY,MIDDLEBROOK AN 355,39.1820155,-77.2382213333333,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-1129,,,MD,02 - Automobile,2016,KIA,SDN,SILVER,Citation,21-1129,Transportation Article,FALSE,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1820155, -77.2382213333333)"
cf5479b6-9bc7-4216-a7b2-99e57ae932af,08/12/2019,21:43:00,MCP,"5th District, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,GERMANTOWN RD AND ALE HOUSE,39.1605076666667,-77.284023,No,No,No,No,No,No,No,No,No,No,No,,Citation,,13-401(h),,,MD,02 - Automobile,2003,TOYOTA,SOLARA,BLACK,Citation,13-401(h),Transportation Article,FALSE,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1605076666667, -77.284023)"
5601ca35-8ee7-4f8e-9208-d89cde96d469,08/12/2019,21:30:00,MCP,"2nd District, Bethesda",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,EASTWEST/ 355,38.9842466666667,-77.0905483333333,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-201(a1),,,MD,02 - Automobile,2001,NISSAN,MAXIMA,SILVER,Citation,16-116(a),Transportation Article,FALSE,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9842466666667, -77.0905483333333)"
5e641929-62f8-4313-a8a7-d4d8d72f3f2e,08/12/2019,22:32:00,MCP,"2nd District, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,CONNECTICUT/ MONTROSE DRWY,39.0015683333333,-77.0769116666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-209(b),,,MD,02 - Automobile,2003,HONDA,PILOT,GRAY,Citation,16-101(a1),Transportation Article,FALSE,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0015683333333, -77.0769116666667)"
5e641929-62f8-4313-a8a7-d4d8d72f3f2e,08/12/2019,22:32:00,MCP,"2nd District, Bethesda",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,CONNECTICUT/ MONTROSE DRWY,39.0015683333333,-77.0769116666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-209(b),,,MD,02 - Automobile,2003,HONDA,PILOT,GRAY,Citation,16-112(c),Transportation Article,FALSE,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0015683333333, -77.0769116666667)"
5e641929-62f8-4313-a8a7-d4d8d72f3f2e,08/12/2019,22:32:00,MCP,"2nd District, Bethesda",FAILURE OF INDIVIDUAL DRIVING ON HWY. TO HAVE LIC.WITH HIM,CONNECTICUT/ MONTROSE DRWY,39.0015683333333,-77.0769116666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-209(b),,,MD,02 - Automobile,2003,HONDA,PILOT,GRAY,Citation,16-112(b),Transportation Article,FALSE,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0015683333333, -77.0769116666667)"
5e641929-62f8-4313-a8a7-d4d8d72f3f2e,08/12/2019,22:32:00,MCP,"2nd District, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,CONNECTICUT/ MONTROSE DRWY,39.0015683333333,-77.0769116666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-209(b),,,MD,02 - Automobile,2003,HONDA,PILOT,GRAY,Citation,13-409(b),Transportation Article,FALSE,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0015683333333, -77.0769116666667)"
5e641929-62f8-4313-a8a7-d4d8d72f3f2e,08/12/2019,22:32:00,MCP,"2nd District, Bethesda",FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,CONNECTICUT/ MONTROSE DRWY,39.0015683333333,-77.0769116666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-209(b),,,MD,02 - Automobile,2003,HONDA,PILOT,GRAY,Citation,13-409(a),Transportation Article,FALSE,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0015683333333, -77.0769116666667)"
